Ticker,Company,Industry,Sector,Theme_Exposure,Directional_Exposure,Theme,Theme_Description,Meta_Theme,Mega_Theme,Research_Provider,Research_Note,Research_Note_Year,Research_Note_Month,Research_Note_Day,Legislation,Key_Variable,KV_View
NEE,NextEra Energy ,Clean Tech.,Energy,Leading developer of renewable projects in the US,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
SEDG,SolarEdge Technologies ,Clean Tech.,Energy,Global leader manufacturer of PV solar inverters,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
NOVA,Sunnova ,Clean Tech.,Energy,Residential solar and energy storage service provider,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
RUN,SunRun ,Clean Tech.,Energy,Largest US rooftop solar and storage developer,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
TPIC,TPI Composites ,Clean Tech.,Energy,Leading manufacturer of onshore wind turbines in the US,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
AEE,Ameren ,Utilities,Energy,Exposed to the transition to renewable energy resources based on the size of its coal fleet and footprint with favorable renewables economics,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
AEP,American Electric Power ,Utilities,Energy,Exposed to the transition to renewable energy resources based on the size of its coal fleet and footprint with favorable renewables economics,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
CMS,CMS Energy ,Utilities,Energy,Exposed to the transition to renewable energy resources based on the size of its coal fleet and footprint with favorable renewables economics,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
D,Dominion Energy ,Utilities,Energy,Exposed to the transition to renewable energy resources based on the size of its coal fleet and footprint with favorable renewables economics,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
DTE,DTE Energy ,Utilities,Energy,Exposed to the transition to renewable energy resources based on the size of its coal fleet and footprint with favorable renewables economics,Positive,Renewables,Renewable energy resources (wind and solar) represent nowa- days the lowest cost energy source in many parts of the US — driving negative carbon abatement costs for these technologies. ,Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Tax Credits,Installed Giga Watts by 2030,425 GW
